Call Type,Incident Number,Battalion,Station Area,Call Type Group,nodeID,parentID
Electrical Hazard,170,B02,36,Alarm,Alarm.Electrical Hazard.B02,Alarm.Electrical Hazard
Elevator / Escalator Rescue,245,B01,1,Alarm,Alarm.Elevator / Escalator Rescue.B01,Alarm.Elevator / Escalator Rescue
Vehicle Fire,30,B06,9,Fire,Fire.Vehicle Fire.B06,Fire.Vehicle Fire
Alarms,374,B03,36,Alarm,Alarm.Alarms.B03,Alarm.Alarms
Structure Fire,1319,B02,36,Fire,Fire.Structure Fire.B02,Fire.Structure Fire
Other,3,B03,,Non Life-threatening,Non Life-threatening.Other.B03,Non Life-threatening.Other
Other,7,B06,,Alarm,Alarm.Other.B06,Alarm.Other
Gas Leak (Natural and LP Gases),26,B05,24,Alarm,Alarm.Gas Leak (Natural and LP Gases).B05,Alarm.Gas Leak (Natural and LP Gases)
Medical Incident,2,AMB,,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.AMB,Potentially Life-Threatening.Medical Incident
Fuel Spill,106,B02,36,Alarm,Alarm.Fuel Spill.B02,Alarm.Fuel Spill
Traffic Collision,27,B03,36,Non Life-threatening,Non Life-threatening.Traffic Collision.B03,Non Life-threatening.Traffic Collision
Medical Incident,27,B99,35,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
HazMat,10,B10,7,Alarm,Alarm.HazMat.B10,Alarm.HazMat
Structure Fire,170,B03,36,Alarm,Alarm.Structure Fire.B03,Alarm.Structure Fire
Medical Incident,4,B08,44,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
"Extrication / Entrapped (Machinery, Vehicle)",2,B04,5,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B04","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Other,407,B08,22,Alarm,Alarm.Other.B08,Alarm.Other
Explosion,13,B06,11,Fire,Fire.Explosion.B06,Fire.Explosion
Medical Incident,5,B02,7,Alarm,Alarm.Medical Incident.B02,Alarm.Medical Incident
Odor (Strange / Unknown),1,B02,37,Alarm,Alarm.Odor (Strange / Unknown).B02,Alarm.Odor (Strange / Unknown)
Train / Rail Incident,14,B02,7,Fire,Fire.Train / Rail Incident.B02,Fire.Train / Rail Incident
Gas Leak (Natural and LP Gases),78,B10,44,Alarm,Alarm.Gas Leak (Natural and LP Gases).B10,Alarm.Gas Leak (Natural and LP Gases)
Medical Incident,5869,B08,23,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
Citizen Assist / Service Call,1068,B04,3,Alarm,Alarm.Citizen Assist / Service Call.B04,Alarm.Citizen Assist / Service Call
Gas Leak (Natural and LP Gases),141,B10,42,Alarm,Alarm.Gas Leak (Natural and LP Gases).B10,Alarm.Gas Leak (Natural and LP Gases)
Citizen Assist / Service Call,1,B99,36,Alarm,Alarm.Citizen Assist / Service Call.B99,Alarm.Citizen Assist / Service Call
Medical Incident,17624,B05,6,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Outside Fire,189,B02,5,Fire,Fire.Outside Fire.B02,Fire.Outside Fire
"Extrication / Entrapped (Machinery, Vehicle)",3,B07,10,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B07","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Gas Leak (Natural and LP Gases),158,B07,34,Alarm,Alarm.Gas Leak (Natural and LP Gases).B07,Alarm.Gas Leak (Natural and LP Gases)
Odor (Strange / Unknown),30,B03,48,Alarm,Alarm.Odor (Strange / Unknown).B03,Alarm.Odor (Strange / Unknown)
Smoke Investigation (Outside),95,B02,29,Alarm,Alarm.Smoke Investigation (Outside).B02,Alarm.Smoke Investigation (Outside)
Other,2,B04,43,Alarm,Alarm.Other.B04,Alarm.Other
Other,38,B06,11,Potentially Life-Threatening,Potentially Life-Threatening.Other.B06,Potentially Life-Threatening.Other
Medical Incident,5,B03,5,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B03,Potentially Life-Threatening.Medical Incident
Alarms,2561,B10,37,Alarm,Alarm.Alarms.B10,Alarm.Alarms
Confined Space / Structure Collapse,6,B10,44,Fire,Fire.Confined Space / Structure Collapse.B10,Fire.Confined Space / Structure Collapse
Other,3,B09,39,Non Life-threatening,Non Life-threatening.Other.B09,Non Life-threatening.Other
Vehicle Fire,1,B03,18,Fire,Fire.Vehicle Fire.B03,Fire.Vehicle Fire
Alarms,3,B07,38,Alarm,Alarm.Alarms.B07,Alarm.Alarms
Vehicle Fire,128,B08,22,Fire,Fire.Vehicle Fire.B08,Fire.Vehicle Fire
Outside Fire,1,B99,51,Alarm,Alarm.Outside Fire.B99,Alarm.Outside Fire
Outside Fire,14,B10,4,Fire,Fire.Outside Fire.B10,Fire.Outside Fire
Assist Police,8,B09,15,Alarm,Alarm.Assist Police.B09,Alarm.Assist Police
Other,6,B05,21,Potentially Life-Threatening,Potentially Life-Threatening.Other.B05,Potentially Life-Threatening.Other
Medical Incident,6,B99,,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Medical Incident,2,B99,3,Alarm,Alarm.Medical Incident.B99,Alarm.Medical Incident
Traffic Collision,4,B04,31,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B04,Potentially Life-Threatening.Traffic Collision
HazMat,14,B08,12,Alarm,Alarm.HazMat.B08,Alarm.HazMat
Traffic Collision,364,B03,4,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B03,Potentially Life-Threatening.Traffic Collision
Medical Incident,35,B99,8,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Electrical Hazard,60,B01,13,Alarm,Alarm.Electrical Hazard.B01,Alarm.Electrical Hazard
Medical Incident,3,B03,42,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B03,Potentially Life-Threatening.Medical Incident
Smoke Investigation (Outside),133,B09,43,Alarm,Alarm.Smoke Investigation (Outside).B09,Alarm.Smoke Investigation (Outside)
Traffic Collision,8,B08,26,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B08,Potentially Life-Threatening.Traffic Collision
HazMat,6,B08,20,Alarm,Alarm.HazMat.B08,Alarm.HazMat
Medical Incident,2,B03,44,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B03,Potentially Life-Threatening.Medical Incident
Fuel Spill,1,B09,19,Alarm,Alarm.Fuel Spill.B09,Alarm.Fuel Spill
Structure Fire,676,B01,13,Fire,Fire.Structure Fire.B01,Fire.Structure Fire
Outside Fire,2,B08,19,Alarm,Alarm.Outside Fire.B08,Alarm.Outside Fire
Medical Incident,14,B99,29,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Explosion,23,B05,21,Fire,Fire.Explosion.B05,Fire.Explosion
Other,22,B04,41,Non Life-threatening,Non Life-threatening.Other.B04,Non Life-threatening.Other
Traffic Collision,2,B10,47,Non Life-threatening,Non Life-threatening.Traffic Collision.B10,Non Life-threatening.Traffic Collision
Structure Fire,64,B10,47,Alarm,Alarm.Structure Fire.B10,Alarm.Structure Fire
Medical Incident,15181,B09,33,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B09,Potentially Life-Threatening.Medical Incident
Citizen Assist / Service Call,2,B99,16,Alarm,Alarm.Citizen Assist / Service Call.B99,Alarm.Citizen Assist / Service Call
Explosion,45,B04,3,Fire,Fire.Explosion.B04,Fire.Explosion
Other,84,B03,13,Alarm,Alarm.Other.B03,Alarm.Other
Medical Incident,2,B06,12,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Industrial Accidents,22,B10,25,Fire,Fire.Industrial Accidents.B10,Fire.Industrial Accidents
Medical Incident,6,B08,1,Non Life-threatening,Non Life-threatening.Medical Incident.B08,Non Life-threatening.Medical Incident
Watercraft in Distress,19,B04,16,Fire,Fire.Watercraft in Distress.B04,Fire.Watercraft in Distress
Citizen Assist / Service Call,913,B06,11,Alarm,Alarm.Citizen Assist / Service Call.B06,Alarm.Citizen Assist / Service Call
Medical Incident,2,B05,40,Non Life-threatening,Non Life-threatening.Medical Incident.B05,Non Life-threatening.Medical Incident
Medical Incident,3893,B10,37,Non Life-threatening,Non Life-threatening.Medical Incident.B10,Non Life-threatening.Medical Incident
Watercraft in Distress,47,B01,28,Fire,Fire.Watercraft in Distress.B01,Fire.Watercraft in Distress
Outside Fire,209,B02,1,Fire,Fire.Outside Fire.B02,Fire.Outside Fire
Other,629,B09,15,Alarm,Alarm.Other.B09,Alarm.Other
Medical Incident,114,B06,20,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Other,4,B04,,Alarm,Alarm.Other.B04,Alarm.Other
Other,55,B04,3,Potentially Life-Threatening,Potentially Life-Threatening.Other.B04,Potentially Life-Threatening.Other
Outside Fire,5,B99,10,Fire,Fire.Outside Fire.B99,Fire.Outside Fire
Citizen Assist / Service Call,658,B05,21,Alarm,Alarm.Citizen Assist / Service Call.B05,Alarm.Citizen Assist / Service Call
Water Rescue,1944,B07,34,Fire,Fire.Water Rescue.B07,Fire.Water Rescue
Electrical Hazard,2,B07,22,Alarm,Alarm.Electrical Hazard.B07,Alarm.Electrical Hazard
Medical Incident,114534,B03,1,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B03,Potentially Life-Threatening.Medical Incident
Alarms,1215,B08,23,Alarm,Alarm.Alarms.B08,Alarm.Alarms
Citizen Assist / Service Call,2,B07,7,Alarm,Alarm.Citizen Assist / Service Call.B07,Alarm.Citizen Assist / Service Call
Elevator / Escalator Rescue,405,B02,3,Alarm,Alarm.Elevator / Escalator Rescue.B02,Alarm.Elevator / Escalator Rescue
Water Rescue,78,B10,44,Fire,Fire.Water Rescue.B10,Fire.Water Rescue
Water Rescue,10,B10,42,Fire,Fire.Water Rescue.B10,Fire.Water Rescue
Vehicle Fire,5,B03,13,Fire,Fire.Vehicle Fire.B03,Fire.Vehicle Fire
Structure Fire,890,B03,48,Alarm,Alarm.Structure Fire.B03,Alarm.Structure Fire
Fuel Spill,54,B01,41,Alarm,Alarm.Fuel Spill.B01,Alarm.Fuel Spill
Medical Incident,3,B99,43,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Traffic Collision,713,B99,51,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B99,Potentially Life-Threatening.Traffic Collision
Traffic Collision,1272,B03,48,Non Life-threatening,Non Life-threatening.Traffic Collision.B03,Non Life-threatening.Traffic Collision
Gas Leak (Natural and LP Gases),96,B01,3,Alarm,Alarm.Gas Leak (Natural and LP Gases).B01,Alarm.Gas Leak (Natural and LP Gases)
Medical Incident,23,B04,16,Alarm,Alarm.Medical Incident.B04,Alarm.Medical Incident
Odor (Strange / Unknown),1,B03,36,Alarm,Alarm.Odor (Strange / Unknown).B03,Alarm.Odor (Strange / Unknown)
Medical Incident,3,B05,13,Non Life-threatening,Non Life-threatening.Medical Incident.B05,Non Life-threatening.Medical Incident
Outside Fire,42,B03,4,Alarm,Alarm.Outside Fire.B03,Alarm.Outside Fire
Electrical Hazard,1,B08,33,Alarm,Alarm.Electrical Hazard.B08,Alarm.Electrical Hazard
Smoke Investigation (Outside),173,B10,9,Alarm,Alarm.Smoke Investigation (Outside).B10,Alarm.Smoke Investigation (Outside)
Medical Incident,1,B01,38,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
Medical Incident,39,B01,28,Alarm,Alarm.Medical Incident.B01,Alarm.Medical Incident
Outside Fire,307,B09,44,Fire,Fire.Outside Fire.B09,Fire.Outside Fire
Structure Fire,32,B02,37,Alarm,Alarm.Structure Fire.B02,Alarm.Structure Fire
Fuel Spill,9,B09,26,Alarm,Alarm.Fuel Spill.B09,Alarm.Fuel Spill
Outside Fire,76,B09,42,Fire,Fire.Outside Fire.B09,Fire.Outside Fire
Vehicle Fire,1,B04,,Fire,Fire.Vehicle Fire.B04,Fire.Vehicle Fire
Smoke Investigation (Outside),4,B07,12,Alarm,Alarm.Smoke Investigation (Outside).B07,Alarm.Smoke Investigation (Outside)
Traffic Collision,4,B02,37,Non Life-threatening,Non Life-threatening.Traffic Collision.B02,Non Life-threatening.Traffic Collision
Traffic Collision,1325,B08,19,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B08,Potentially Life-Threatening.Traffic Collision
Water Rescue,5,B04,16,Potentially Life-Threatening,Potentially Life-Threatening.Water Rescue.B04,Potentially Life-Threatening.Water Rescue
Medical Incident,6,B06,26,Alarm,Alarm.Medical Incident.B06,Alarm.Medical Incident
Vehicle Fire,202,B09,15,Fire,Fire.Vehicle Fire.B09,Fire.Vehicle Fire
Fuel Spill,9,B03,37,Alarm,Alarm.Fuel Spill.B03,Alarm.Fuel Spill
Structure Fire,122,B08,33,Fire,Fire.Structure Fire.B08,Fire.Structure Fire
Fuel Spill,46,B06,7,Alarm,Alarm.Fuel Spill.B06,Alarm.Fuel Spill
Assist Police,18,B08,22,Alarm,Alarm.Assist Police.B08,Alarm.Assist Police
Medical Incident,26589,B01,28,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
HazMat,3,B02,5,Fire,Fire.HazMat.B02,Fire.HazMat
Medical Incident,16590,B04,16,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Medical Incident,14,B06,36,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Traffic Collision,4,B99,6,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B99,Potentially Life-Threatening.Traffic Collision
Medical Incident,4563,B06,26,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B06,Potentially Life-Threatening.Medical Incident
Odor (Strange / Unknown),18,B04,5,Alarm,Alarm.Odor (Strange / Unknown).B04,Alarm.Odor (Strange / Unknown)
Train / Rail Incident,63,B03,1,Fire,Fire.Train / Rail Incident.B03,Fire.Train / Rail Incident
Vehicle Fire,95,B04,3,Fire,Fire.Vehicle Fire.B04,Fire.Vehicle Fire
"Extrication / Entrapped (Machinery, Vehicle)",8,B02,37,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B02","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Elevator / Escalator Rescue,48,B02,29,Alarm,Alarm.Elevator / Escalator Rescue.B02,Alarm.Elevator / Escalator Rescue
Medical Incident,2,B09,7,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B09,Potentially Life-Threatening.Medical Incident
Smoke Investigation (Outside),4,B09,11,Alarm,Alarm.Smoke Investigation (Outside).B09,Alarm.Smoke Investigation (Outside)
Outside Fire,1,B10,7,Alarm,Alarm.Outside Fire.B10,Alarm.Outside Fire
Medical Incident,42,B03,1,Alarm,Alarm.Medical Incident.B03,Alarm.Medical Incident
Odor (Strange / Unknown),31,B07,10,Alarm,Alarm.Odor (Strange / Unknown).B07,Alarm.Odor (Strange / Unknown)
Traffic Collision,2,B05,35,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B05,Potentially Life-Threatening.Traffic Collision
Medical Incident,3,B99,34,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Assist Police,17,B06,11,Alarm,Alarm.Assist Police.B06,Alarm.Assist Police
Alarms,3,B03,31,Alarm,Alarm.Alarms.B03,Alarm.Alarms
Electrical Hazard,1,B02,21,Alarm,Alarm.Electrical Hazard.B02,Alarm.Electrical Hazard
Train / Rail Incident,13,B09,33,Fire,Fire.Train / Rail Incident.B09,Fire.Train / Rail Incident
Medical Incident,2,B07,28,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Other,35,B08,40,Non Life-threatening,Non Life-threatening.Other.B08,Non Life-threatening.Other
HazMat,7,B08,19,Alarm,Alarm.HazMat.B08,Alarm.HazMat
Elevator / Escalator Rescue,46,B09,43,Alarm,Alarm.Elevator / Escalator Rescue.B09,Alarm.Elevator / Escalator Rescue
Other,629,B04,3,Alarm,Alarm.Other.B04,Alarm.Other
Explosion,13,B03,13,Fire,Fire.Explosion.B03,Fire.Explosion
Other,13,B99,36,Alarm,Alarm.Other.B99,Alarm.Other
Assist Police,5,B05,21,Alarm,Alarm.Assist Police.B05,Alarm.Assist Police
Citizen Assist / Service Call,1,B06,29,Alarm,Alarm.Citizen Assist / Service Call.B06,Alarm.Citizen Assist / Service Call
Other,31,B09,15,Potentially Life-Threatening,Potentially Life-Threatening.Other.B09,Potentially Life-Threatening.Other
Outside Fire,288,B01,2,Fire,Fire.Outside Fire.B01,Fire.Outside Fire
Medical Incident,1,B06,4,Non Life-threatening,Non Life-threatening.Medical Incident.B06,Non Life-threatening.Medical Incident
Citizen Assist / Service Call,672,B08,22,Alarm,Alarm.Citizen Assist / Service Call.B08,Alarm.Citizen Assist / Service Call
Other,2,B04,11,Alarm,Alarm.Other.B04,Alarm.Other
Citizen Assist / Service Call,3,B06,,Alarm,Alarm.Citizen Assist / Service Call.B06,Alarm.Citizen Assist / Service Call
Medical Incident,21,B09,33,Alarm,Alarm.Medical Incident.B09,Alarm.Medical Incident
Explosion,47,B09,15,Fire,Fire.Explosion.B09,Fire.Explosion
Structure Fire,13,B04,1,Alarm,Alarm.Structure Fire.B04,Alarm.Structure Fire
Traffic Collision,4,B05,,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B05,Potentially Life-Threatening.Traffic Collision
Traffic Collision,3,B99,40,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Industrial Accidents,6,B03,29,Fire,Fire.Industrial Accidents.B03,Fire.Industrial Accidents
HazMat,1,B02,1,Fire,Fire.HazMat.B02,Fire.HazMat
Medical Incident,47,B99,41,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Medical Incident,18,B99,11,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Citizen Assist / Service Call,1,B99,12,Alarm,Alarm.Citizen Assist / Service Call.B99,Alarm.Citizen Assist / Service Call
Other,64,B08,18,Non Life-threatening,Non Life-threatening.Other.B08,Non Life-threatening.Other
Vehicle Fire,123,B06,11,Fire,Fire.Vehicle Fire.B06,Fire.Vehicle Fire
Traffic Collision,91,B10,7,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B10,Potentially Life-Threatening.Traffic Collision
Medical Incident,2,B08,21,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B08,Potentially Life-Threatening.Medical Incident
Water Rescue,42,B01,35,Fire,Fire.Water Rescue.B01,Fire.Water Rescue
Other,454,B05,21,Alarm,Alarm.Other.B05,Alarm.Other
Assist Police,7,B04,3,Alarm,Alarm.Assist Police.B04,Alarm.Assist Police
Medical Incident,57,B99,3,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Medical Incident,21,B04,36,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B04,Potentially Life-Threatening.Medical Incident
Medical Incident,10,B08,31,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B08,Potentially Life-Threatening.Medical Incident
Other,1,B07,7,Alarm,Alarm.Other.B07,Alarm.Other
Traffic Collision,6,B99,13,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Structure Fire,1233,B07,10,Alarm,Alarm.Structure Fire.B07,Alarm.Structure Fire
Medical Incident,4,B05,6,Alarm,Alarm.Medical Incident.B05,Alarm.Medical Incident
Citizen Assist / Service Call,710,B09,15,Alarm,Alarm.Citizen Assist / Service Call.B09,Alarm.Citizen Assist / Service Call
HazMat,12,B03,4,Alarm,Alarm.HazMat.B03,Alarm.HazMat
Traffic Collision,41,B08,12,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B08,Potentially Life-Threatening.Traffic Collision
Marine Fire,60,B03,8,Fire,Fire.Marine Fire.B03,Fire.Marine Fire
Structure Fire,6,B99,13,Alarm,Alarm.Structure Fire.B99,Alarm.Structure Fire
Traffic Collision,168,B07,10,Non Life-threatening,Non Life-threatening.Traffic Collision.B07,Non Life-threatening.Traffic Collision
Medical Incident,1,B03,21,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Other,2,B08,9,Alarm,Alarm.Other.B08,Alarm.Other
Citizen Assist / Service Call,7,B04,,Alarm,Alarm.Citizen Assist / Service Call.B04,Alarm.Citizen Assist / Service Call
Elevator / Escalator Rescue,12,B10,9,Alarm,Alarm.Elevator / Escalator Rescue.B10,Alarm.Elevator / Escalator Rescue
Other,1,B99,19,Alarm,Alarm.Other.B99,Alarm.Other
Other,39,B05,5,Non Life-threatening,Non Life-threatening.Other.B05,Non Life-threatening.Other
Traffic Collision,103,B08,20,Potentially Life-Threatening,Potentially Life-Threatening.Traffic Collision.B08,Potentially Life-Threatening.Traffic Collision
Explosion,33,B08,22,Fire,Fire.Explosion.B08,Fire.Explosion
Other,689,B06,11,Alarm,Alarm.Other.B06,Alarm.Other
Medical Incident,7,B03,31,Non Life-threatening,Non Life-threatening.Medical Incident.B03,Non Life-threatening.Medical Incident
Other,8,B99,16,Alarm,Alarm.Other.B99,Alarm.Other
Citizen Assist / Service Call,39,B03,13,Alarm,Alarm.Citizen Assist / Service Call.B03,Alarm.Citizen Assist / Service Call
Other,37,B08,22,Potentially Life-Threatening,Potentially Life-Threatening.Other.B08,Potentially Life-Threatening.Other
Industrial Accidents,17,B03,35,Fire,Fire.Industrial Accidents.B03,Fire.Industrial Accidents
Medical Incident,28643,B02,7,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B02,Potentially Life-Threatening.Medical Incident
Smoke Investigation (Outside),49,B02,3,Alarm,Alarm.Smoke Investigation (Outside).B02,Alarm.Smoke Investigation (Outside)
Other,2,B10,32,Non Life-threatening,Non Life-threatening.Other.B10,Non Life-threatening.Other
Structure Fire,1047,B04,5,Alarm,Alarm.Structure Fire.B04,Alarm.Structure Fire
Vehicle Fire,140,B05,21,Fire,Fire.Vehicle Fire.B05,Fire.Vehicle Fire
Medical Incident,4,B05,51,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B05,Potentially Life-Threatening.Medical Incident
Gas Leak (Natural and LP Gases),109,B05,10,Alarm,Alarm.Gas Leak (Natural and LP Gases).B05,Alarm.Gas Leak (Natural and LP Gases)
Traffic Collision,227,B04,5,Non Life-threatening,Non Life-threatening.Traffic Collision.B04,Non Life-threatening.Traffic Collision
Smoke Investigation (Outside),3,B06,29,Alarm,Alarm.Smoke Investigation (Outside).B06,Alarm.Smoke Investigation (Outside)
HazMat,59,B01,13,Alarm,Alarm.HazMat.B01,Alarm.HazMat
Medical Incident,22,B01,8,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B01,Potentially Life-Threatening.Medical Incident
Medical Incident,10,B01,41,Alarm,Alarm.Medical Incident.B01,Alarm.Medical Incident
High Angle Rescue,8,B07,12,Fire,Fire.High Angle Rescue.B07,Fire.High Angle Rescue
Traffic Collision,253,B01,2,Non Life-threatening,Non Life-threatening.Traffic Collision.B01,Non Life-threatening.Traffic Collision
Electrical Hazard,5,B08,12,Alarm,Alarm.Electrical Hazard.B08,Alarm.Electrical Hazard
Structure Fire,143,B08,20,Fire,Fire.Structure Fire.B08,Fire.Structure Fire
Structure Fire,4845,B01,2,Alarm,Alarm.Structure Fire.B01,Alarm.Structure Fire
"Extrication / Entrapped (Machinery, Vehicle)",7,B02,1,Fire,"Fire.Extrication / Entrapped (Machinery, Vehicle).B02","Fire.Extrication / Entrapped (Machinery, Vehicle)"
Traffic Collision,1,B99,24,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Train / Rail Incident,56,B09,26,Fire,Fire.Train / Rail Incident.B09,Fire.Train / Rail Incident
Structure Fire,33,B08,12,Fire,Fire.Structure Fire.B08,Fire.Structure Fire
Vehicle Fire,201,B09,43,Fire,Fire.Vehicle Fire.B09,Fire.Vehicle Fire
Explosion,6,B02,3,Fire,Fire.Explosion.B02,Fire.Explosion
Medical Incident,2,B01,29,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
Other,285,B02,29,Alarm,Alarm.Other.B02,Alarm.Other
Electrical Hazard,14,B08,20,Alarm,Alarm.Electrical Hazard.B08,Alarm.Electrical Hazard
Alarms,2483,B05,10,Alarm,Alarm.Alarms.B05,Alarm.Alarms
Medical Incident,29,B06,7,Alarm,Alarm.Medical Incident.B06,Alarm.Medical Incident
Fuel Spill,16,B06,26,Alarm,Alarm.Fuel Spill.B06,Alarm.Fuel Spill
Medical Incident,5,B07,35,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Medical Incident,6,B09,26,Alarm,Alarm.Medical Incident.B09,Alarm.Medical Incident
Traffic Collision,3,B99,32,Non Life-threatening,Non Life-threatening.Traffic Collision.B99,Non Life-threatening.Traffic Collision
Fuel Spill,75,B01,28,Alarm,Alarm.Fuel Spill.B01,Alarm.Fuel Spill
Other,4,B02,,Alarm,Alarm.Other.B02,Alarm.Other
Other,7,B02,3,Potentially Life-Threatening,Potentially Life-Threatening.Other.B02,Potentially Life-Threatening.Other
Medical Incident,32,B01,,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
Fuel Spill,65,B04,16,Alarm,Alarm.Fuel Spill.B04,Alarm.Fuel Spill
Medical Incident,12,B99,15,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B99,Potentially Life-Threatening.Medical Incident
Smoke Investigation (Outside),107,B08,22,Alarm,Alarm.Smoke Investigation (Outside).B08,Alarm.Smoke Investigation (Outside)
Medical Incident,21,B99,25,Non Life-threatening,Non Life-threatening.Medical Incident.B99,Non Life-threatening.Medical Incident
Medical Incident,25,B07,8,Non Life-threatening,Non Life-threatening.Medical Incident.B07,Non Life-threatening.Medical Incident
Other,614,B09,43,Alarm,Alarm.Other.B09,Alarm.Other
Medical Incident,10,B07,29,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Elevator / Escalator Rescue,493,B04,3,Alarm,Alarm.Elevator / Escalator Rescue.B04,Alarm.Elevator / Escalator Rescue
Vehicle Fire,246,B02,29,Fire,Fire.Vehicle Fire.B02,Fire.Vehicle Fire
Electrical Hazard,17,B10,7,Alarm,Alarm.Electrical Hazard.B10,Alarm.Electrical Hazard
Elevator / Escalator Rescue,1,B04,11,Alarm,Alarm.Elevator / Escalator Rescue.B04,Alarm.Elevator / Escalator Rescue
Other,1,B02,35,Alarm,Alarm.Other.B02,Alarm.Other
Medical Incident,28,B01,35,Non Life-threatening,Non Life-threatening.Medical Incident.B01,Non Life-threatening.Medical Incident
Other,6,B04,28,Non Life-threatening,Non Life-threatening.Other.B04,Non Life-threatening.Other
Medical Incident,31,B07,,Potentially Life-Threatening,Potentially Life-Threatening.Medical Incident.B07,Potentially Life-Threatening.Medical Incident
Structure Fire,100,B10,7,Fire,Fire.Structure Fire.B10,Fire.Structure Fire
Fuel Spill,1,B04,36,Alarm,Alarm.Fuel Spill.B04,Alarm.Fuel Spill
Vehicle Fire,385,B10,9,Fire,Fire.Vehicle Fire.B10,Fire.Vehicle Fire
