Call Type,Incident Number,Battalion,Station Area,Call Type Group
Structure Fire,608,B05,12,Fire
Explosion,47,B06,07,Fire
Outside Fire,457,B03,35,Fire
Electrical Hazard,1,B05,20,Alarm
Elevator / Escalator Rescue,216,B01,28,Alarm
Medical Incident,14,B02,08,Non Life-threatening
Other,4,B01,08,Alarm
Outside Fire,1,B99,44,Fire
Traffic Collision,635,B06,32,Non Life-threatening
Outside Fire,1,B07,14,Alarm
Structure Fire,1843,B06,32,Alarm
Outside Fire,286,B03,29,Fire
Other,5,B07,,Alarm
Medical Incident,15,B02,35,Potentially Life-Threatening
Medical Incident,10472,B04,38,Non Life-threatening
Traffic Collision,2,B10,,Potentially Life-Threatening
Medical Incident,6,B06,15,Potentially Life-Threatening
Fuel Spill,36,B04,03,Alarm
HazMat,9,B01,01,Alarm
Traffic Collision,7,B10,08,Non Life-threatening
Gas Leak (Natural and LP Gases),133,B04,41,Alarm
Medical Incident,3,B10,02,Potentially Life-Threatening
Medical Incident,26881,B09,43,Potentially Life-Threatening
Structure Fire,1707,B06,24,Alarm
Traffic Collision,177,B06,24,Non Life-threatening
Traffic Collision,35,B10,29,Potentially Life-Threatening
Citizen Assist / Service Call,1137,B02,36,Alarm
Citizen Assist / Service Call,499,B06,07,Alarm
Citizen Assist / Service Call,47,B03,37,Alarm
Traffic Collision,125,B07,21,Potentially Life-Threatening
Smoke Investigation (Outside),58,B09,33,Alarm
Medical Incident,3,B03,10,Potentially Life-Threatening
Citizen Assist / Service Call,95,B09,26,Alarm
Industrial Accidents,9,B01,02,Fire
Traffic Collision,2205,B07,31,Potentially Life-Threatening
Electrical Hazard,9,B08,,Alarm
Odor (Strange / Unknown),26,B06,24,Alarm
HazMat,28,B10,17,Alarm
Citizen Assist / Service Call,601,B01,41,Alarm
Odor (Strange / Unknown),63,B06,32,Alarm
Electrical Hazard,9,B06,06,Alarm
Gas Leak (Natural and LP Gases),56,B09,39,Alarm
Other,3,B02,12,Alarm
Traffic Collision,7,B02,09,Potentially Life-Threatening
Traffic Collision,8,B99,37,Non Life-threatening
Structure Fire,87,B06,06,Fire
Explosion,1,B09,19,Fire
Alarms,8956,B04,38,Alarm
Medical Incident,8,B09,35,Potentially Life-Threatening
Fuel Spill,54,B05,21,Alarm
Traffic Collision,902,B07,14,Potentially Life-Threatening
Other,30,B10,42,Non Life-threatening
Explosion,43,B02,36,Fire
Other,32,B10,44,Non Life-threatening
Elevator / Escalator Rescue,75,B02,07,Alarm
Electrical Hazard,83,B03,08,Alarm
Odor (Strange / Unknown),28,B08,39,Alarm
Other,40,B07,34,Non Life-threatening
Outside Fire,3,B10,,Alarm
Smoke Investigation (Outside),152,B03,01,Alarm
Structure Fire,696,B03,08,Fire
"Extrication / Entrapped (Machinery, Vehicle)",16,B04,10,Fire
Fuel Spill,87,B06,11,Alarm
Other,58,B02,36,Potentially Life-Threatening
Other,5,B05,24,Non Life-threatening
Medical Incident,386,B07,12,Potentially Life-Threatening
Medical Incident,80,B09,,Potentially Life-Threatening
HazMat,44,B02,06,Alarm
Medical Incident,5100,B10,09,Potentially Life-Threatening
Medical Incident,6,B07,20,Potentially Life-Threatening
Medical Incident,74,B03,28,Potentially Life-Threatening
Traffic Collision,4,B02,,Potentially Life-Threatening
Outside Fire,166,B04,41,Fire
Structure Fire,16,B99,16,Fire
Medical Incident,7,B02,02,Potentially Life-Threatening
Structure Fire,1496,B06,11,Fire
Fuel Spill,59,B03,08,Alarm
Elevator / Escalator Rescue,2,B99,06,Alarm
Traffic Collision,7,B02,08,Non Life-threatening
Confined Space / Structure Collapse,15,B03,35,Fire
Electrical Hazard,310,B06,11,Alarm
Medical Incident,3720,B08,39,Non Life-threatening
HazMat,2,B08,18,Fire
Traffic Collision,1580,B02,29,Potentially Life-Threatening
Other,72,B02,01,Non Life-threatening
Medical Incident,2,B01,01,Alarm
Gas Leak (Natural and LP Gases),59,B03,29,Alarm
Industrial Accidents,3,B05,10,Fire
Structure Fire,5504,B04,38,Alarm
Structure Fire,1181,B05,21,Fire
Explosion,34,B01,13,Fire
Traffic Collision,650,B04,38,Non Life-threatening
Traffic Collision,26,B06,15,Potentially Life-Threatening
Traffic Collision,10,B06,25,Non Life-threatening
Fuel Spill,8,B06,06,Alarm
Gas Leak (Natural and LP Gases),125,B03,35,Alarm
Medical Incident,88,B10,,Potentially Life-Threatening
Electrical Hazard,178,B05,21,Alarm
Citizen Assist / Service Call,23,B07,22,Alarm
Medical Incident,5004,B06,32,Non Life-threatening
HazMat,20,B02,03,Alarm
Medical Incident,2205,B06,24,Non Life-threatening
Other,8,B09,42,Non Life-threatening
Other,35,B09,44,Non Life-threatening
Other,12,B01,13,Potentially Life-Threatening
Medical Incident,246,B10,29,Potentially Life-Threatening
Smoke Investigation (Outside),31,B03,04,Alarm
Outside Fire,5,B10,09,Alarm
HazMat,4,B05,05,Fire
Medical Incident,3,B10,08,Non Life-threatening
Citizen Assist / Service Call,1,B07,06,Alarm
Traffic Collision,1366,B09,43,Potentially Life-Threatening
Citizen Assist / Service Call,95,B08,33,Alarm
Other,2,B08,07,Alarm
Elevator / Escalator Rescue,18,B10,07,Alarm
Medical Incident,20840,B07,31,Potentially Life-Threatening
Suspicious Package,4,B06,11,Fire
Alarms,1980,B06,24,Alarm
Medical Incident,1380,B07,21,Potentially Life-Threatening
Train / Rail Incident,11,B02,06,Fire
Medical Incident,1,B01,14,Non Life-threatening
Medical Incident,3,B05,07,Potentially Life-Threatening
Structure Fire,1064,B04,03,Fire
Elevator / Escalator Rescue,2,B01,10,Alarm
Medical Incident,16,B02,06,Alarm
Odor (Strange / Unknown),71,B04,38,Alarm
Electrical Hazard,58,B04,03,Alarm
Alarms,1441,B06,32,Alarm
Medical Incident,16,B02,09,Potentially Life-Threatening
Medical Incident,15,B99,37,Non Life-threatening
Other,28,B02,05,Non Life-threatening
Outside Fire,3,B02,29,Alarm
Water Rescue,1572,B03,35,Fire
Watercraft in Distress,59,B10,17,Fire
Fuel Spill,30,B05,12,Alarm
Water Rescue,57,B03,29,Fire
Odor (Strange / Unknown),4,B06,11,Fire
Medical Incident,1,B01,31,Non Life-threatening
Fuel Spill,3,B05,20,Alarm
Outside Fire,72,B09,39,Fire
Smoke Investigation (Outside),22,B99,51,Alarm
Medical Incident,11834,B07,14,Potentially Life-Threatening
Medical Incident,2,B01,21,Non Life-threatening
Other,1,B07,51,Alarm
Other,22,B02,21,Alarm
Alarms,2192,B08,39,Alarm
Traffic Collision,5,B09,29,Potentially Life-Threatening
Traffic Collision,1586,B10,09,Potentially Life-Threatening
Suspicious Package,4,B05,21,Fire
HazMat,2,B08,40,Fire
Outside Fire,1,B09,43,Alarm
Smoke Investigation (Outside),59,B08,19,Alarm
Elevator / Escalator Rescue,24,B08,20,Alarm
Traffic Collision,26,B07,12,Potentially Life-Threatening
Medical Incident,15,B10,17,Alarm
Citizen Assist / Service Call,540,B01,13,Alarm
Odor (Strange / Unknown),3,B08,22,Fire
Traffic Collision,2,B08,24,Non Life-threatening
Other,37,B08,33,Alarm
Medical Incident,3,B05,33,Potentially Life-Threatening
Medical Incident,35576,B10,17,Potentially Life-Threatening
Outside Fire,219,B08,18,Fire
Medical Incident,9,B07,23,Non Life-threatening
Gas Leak (Natural and LP Gases),209,B10,25,Alarm
Medical Incident,3116,B04,10,Non Life-threatening
Fuel Spill,2,B04,51,Alarm
Other,27,B07,22,Alarm
Medical Incident,5,B09,40,Non Life-threatening
Other,134,B03,48,Fire
Medical Incident,16,B08,15,Potentially Life-Threatening
Medical Incident,14,B07,14,Alarm
HazMat,3,B04,41,Fire
HazMat,9,B10,09,Alarm
Medical Incident,21304,B02,06,Potentially Life-Threatening
Suspicious Package,9,B08,22,Fire
Other,2,B10,36,Alarm
Structure Fire,823,B09,15,Fire
Outside Fire,175,B05,05,Fire
Vehicle Fire,24,B08,33,Fire
Medical Incident,11,B03,25,Potentially Life-Threatening
Elevator / Escalator Rescue,162,B03,04,Alarm
Medical Incident,3,B01,05,Potentially Life-Threatening
Structure Fire,133,B06,39,Alarm
High Angle Rescue,19,B01,13,Fire
Electrical Hazard,304,B09,15,Alarm
Electrical Hazard,2,B04,,Alarm
Industrial Accidents,13,B01,03,Fire
Medical Incident,2,B01,42,Potentially Life-Threatening
Medical Incident,2,B09,13,Non Life-threatening
Assist Police,4,B01,13,Alarm
Structure Fire,86,B03,13,Fire
Medical Incident,25,B07,31,Alarm
Outside Fire,80,B10,32,Fire
Vehicle Fire,13,B07,22,Fire
Watercraft in Distress,11,B99,94,Fire
Alarms,6,B07,01,Alarm
Outside Fire,4,B02,03,Alarm
Electrical Hazard,6,B03,13,Alarm
Medical Incident,3,B09,22,Potentially Life-Threatening
Medical Incident,10,B02,13,Non Life-threatening
Other,884,B01,13,Alarm
HazMat,6,B02,29,Alarm
Confined Space / Structure Collapse,3,B03,03,Fire
Medical Incident,4,B10,11,Potentially Life-Threatening
Medical Incident,29,B07,01,Non Life-threatening
Industrial Accidents,13,B10,44,Fire
Fuel Spill,3,B99,31,Alarm
Structure Fire,348,B01,16,Alarm
Traffic Collision,17,B01,16,Non Life-threatening
Smoke Investigation (Outside),23,B10,07,Alarm
Medical Incident,7,B10,03,Potentially Life-Threatening
Structure Fire,259,B04,28,Alarm
Medical Incident,5,B09,06,Potentially Life-Threatening
Citizen Assist / Service Call,2,B02,21,Alarm
"Extrication / Entrapped (Machinery, Vehicle)",14,B04,38,Fire
Traffic Collision,42,B04,28,Non Life-threatening
Fuel Spill,9,B06,09,Alarm
Traffic Collision,2,B99,07,Potentially Life-Threatening
Gas Leak (Natural and LP Gases),60,B09,32,Alarm
Traffic Collision,1,B02,41,Non Life-threatening
Outside Fire,148,B08,40,Fire
Vehicle Fire,176,B01,13,Fire
Traffic Collision,6,B02,11,Potentially Life-Threatening
Other,28,B01,02,Non Life-threatening
Smoke Investigation (Outside),4,B08,12,Alarm
Alarms,3460,B04,10,Alarm
Fuel Spill,1,B99,14,Alarm
Medical Incident,1,B02,40,Non Life-threatening
Traffic Collision,1,B01,48,Non Life-threatening
Aircraft Emergency,13,B03,08,Alarm
Outside Fire,1,B09,25,Fire
Medical Incident,11934,B01,01,Potentially Life-Threatening
HazMat,14,B09,43,Alarm
Confined Space / Structure Collapse,2,B09,32,Fire
Elevator / Escalator Rescue,111,B08,19,Alarm
Smoke Investigation (Outside),23,B08,20,Alarm
Electrical Hazard,6,B06,,Alarm
Structure Fire,688,B08,22,Fire
Suspicious Package,4,B09,15,Fire
Water Rescue,225,B10,25,Fire
Gas Leak (Natural and LP Gases),94,B03,03,Alarm
Elevator / Escalator Rescue,23,B99,51,Alarm
Alarms,1,B07,23,Alarm
Traffic Collision,1364,B02,03,Potentially Life-Threatening
Water Rescue,18,B08,34,Fire
Electrical Hazard,256,B08,22,Alarm
Alarms,1773,B04,05,Alarm
High Angle Rescue,3,B05,20,Fire
Traffic Collision,231,B06,26,Potentially Life-Threatening
Smoke Investigation (Outside),176,B10,17,Alarm
Medical Incident,17,B08,19,Alarm
Vehicle Fire,7,B06,06,Fire
Water Rescue,4,B08,19,Potentially Life-Threatening
High Angle Rescue,7,B05,12,Fire
Traffic Collision,1748,B01,28,Potentially Life-Threatening
Other,56,B03,03,Non Life-threatening
Medical Incident,13,B99,06,Potentially Life-Threatening
Traffic Collision,1165,B04,16,Potentially Life-Threatening
HazMat,10,B09,33,Alarm
Assist Police,13,B05,12,Alarm
Outside Fire,1,B01,35,Fire
Gas Leak (Natural and LP Gases),236,B01,02,Alarm
Other,738,B03,08,Alarm
Medical Incident,3,B99,22,Potentially Life-Threatening
Alarms,2429,B07,10,Alarm
Water Rescue,4,B99,51,Potentially Life-Threatening
Alarms,10,B99,13,Alarm
Other,40,B06,06,Alarm
Medical Incident,1,B99,18,Non Life-threatening
Watercraft in Distress,13,B08,19,Fire
Confined Space / Structure Collapse,12,B01,02,Fire
Medical Incident,3,B06,23,Non Life-threatening
Other,11,B06,09,Potentially Life-Threatening
"Extrication / Entrapped (Machinery, Vehicle)",14,B10,37,Fire
Other,15,B09,32,Non Life-threatening
Smoke Investigation (Outside),81,B02,06,Alarm
Citizen Assist / Service Call,46,B04,51,Alarm
Medical Incident,1,B06,44,Non Life-threatening
Medical Incident,5,B06,42,Non Life-threatening
Watercraft in Distress,85,B99,51,Fire
Vehicle Fire,258,B03,08,Fire
Medical Incident,24,B04,01,Non Life-threatening
HazMat,3,B07,34,Fire
Outside Fire,3,B02,07,Alarm
Medical Incident,57,B05,,Potentially Life-Threatening
Other,6,B08,,Alarm
HazMat,34,B03,01,Alarm
Explosion,1,B06,09,Fire
Outside Fire,2,B01,,Fire
Outside Fire,2,B99,25,Fire
Vehicle Fire,108,B05,12,Fire
Outside Fire,3,B06,26,Alarm
Other,7,B05,36,Potentially Life-Threatening
Outside Fire,79,B05,10,Fire
Alarms,3,B06,42,Alarm
Outside Fire,1,B04,16,Alarm
Vehicle Fire,12,B05,20,Fire
Medical Incident,3,B08,36,Alarm
Medical Incident,6,B99,40,Non Life-threatening
Medical Incident,13,B03,04,Alarm
Outside Fire,701,B01,28,Alarm
Electrical Hazard,1,B06,33,Alarm
HazMat,8,B05,06,Alarm
Medical Incident,2,B04,31,Alarm
Traffic Collision,4,B99,41,Non Life-threatening
Traffic Collision,1,B99,11,Potentially Life-Threatening
Traffic Collision,13,B99,03,Potentially Life-Threatening
Traffic Collision,4,B04,36,Potentially Life-Threatening
Electrical Hazard,8,B07,,Alarm
Elevator / Escalator Rescue,1,B07,21,Alarm
Citizen Assist / Service Call,2,B99,14,Alarm
Elevator / Escalator Rescue,68,B07,31,Alarm
Alarms,6,B05,08,Alarm
Medical Incident,5610,B10,07,Potentially Life-Threatening
Medical Incident,3973,B08,20,Potentially Life-Threatening
Smoke Investigation (Outside),32,B01,01,Alarm
Assist Police,15,B03,08,Alarm
Citizen Assist / Service Call,149,B06,09,Alarm
Other,605,B05,12,Alarm
Medical Incident,415,B08,12,Potentially Life-Threatening
Medical Incident,2177,B07,10,Non Life-threatening
Medical Incident,130,B99,13,Non Life-threatening
Medical Incident,6,B06,01,Non Life-threatening
Other,3,B04,22,Alarm
Industrial Accidents,8,B04,41,Fire
Other,20,B05,20,Alarm
Watercraft in Distress,15,B03,04,Fire
"Extrication / Entrapped (Machinery, Vehicle)",15,B08,23,Fire
Traffic Collision,1497,B02,07,Potentially Life-Threatening
Electrical Hazard,2,B99,15,Alarm
Citizen Assist / Service Call,13,B99,31,Alarm
Elevator / Escalator Rescue,34,B07,14,Alarm
Medical Incident,2593,B04,05,Non Life-threatening
Citizen Assist / Service Call,1,B99,21,Alarm
Other,40,B10,25,Non Life-threatening
Other,5,B04,06,Alarm
Citizen Assist / Service Call,7,B08,,Alarm
Structure Fire,1421,B06,07,Fire
Fuel Spill,7,B08,33,Alarm
Explosion,5,B05,12,Fire
Structure Fire,50,B03,37,Fire
Alarms,49,B02,37,Alarm
Structure Fire,151,B09,26,Fire
Electrical Hazard,19,B03,37,Alarm
Electrical Hazard,181,B06,07,Alarm
Electrical Hazard,30,B09,26,Alarm
Fuel Spill,2,B01,18,Alarm
Medical Incident,1189,B03,36,Non Life-threatening
High Angle Rescue,9,B99,14,Fire
Alarms,911,B03,48,Alarm
Structure Fire,639,B01,41,Fire
Other,1,B06,02,Alarm
Citizen Assist / Service Call,2,B08,29,Alarm
Other,12,B05,12,Potentially Life-Threatening
Other,23,B04,51,Alarm
Fuel Spill,3,B07,22,Alarm
Medical Incident,87,B08,20,Alarm
Elevator / Escalator Rescue,95,B10,17,Alarm
Structure Fire,2228,B08,23,Alarm
Medical Incident,3,B05,17,Potentially Life-Threatening
Citizen Assist / Service Call,40,B06,06,Alarm
Traffic Collision,508,B08,23,Non Life-threatening
Electrical Hazard,70,B01,41,Alarm
Medical Incident,5,B08,12,Alarm
Traffic Collision,1081,B05,06,Potentially Life-Threatening
Outside Fire,457,B07,34,Fire
HazMat,39,B02,07,Alarm
Outside Fire,351,B10,44,Fire
Odor (Strange / Unknown),35,B10,37,Alarm
Outside Fire,758,B10,42,Fire
Medical Incident,7,B10,07,Alarm
Outside Fire,6,B03,01,Alarm
Citizen Assist / Service Call,517,B03,08,Alarm
Gas Leak (Natural and LP Gases),170,B02,05,Alarm
Vehicle Fire,4,B04,51,Fire
Medical Incident,6,B04,21,Potentially Life-Threatening
Traffic Collision,1,B99,29,Potentially Life-Threatening
Medical Incident,3897,B03,04,Potentially Life-Threatening
Traffic Collision,5,B99,08,Non Life-threatening
Outside Fire,37,B05,24,Fire
Smoke Investigation (Outside),16,B10,29,Alarm
Water Rescue,15,B09,44,Fire
Medical Incident,3,B04,31,Potentially Life-Threatening
Alarms,115,B10,47,Alarm
Medical Incident,3,B99,02,Potentially Life-Threatening
Medical Incident,23,B08,36,Potentially Life-Threatening
Elevator / Escalator Rescue,116,B02,06,Alarm
Gas Leak (Natural and LP Gases),97,B09,44,Alarm
Other,4,B99,21,Alarm
Traffic Collision,1135,B09,33,Potentially Life-Threatening
Fuel Spill,52,B01,13,Alarm
Gas Leak (Natural and LP Gases),17,B09,42,Alarm
Medical Incident,6,B05,03,Potentially Life-Threatening
Structure Fire,67,B09,19,Fire
Smoke Investigation (Outside),12,B07,21,Alarm
Outside Fire,130,B01,03,Fire
Other,5,B99,31,Alarm
Medical Incident,15,B06,14,Potentially Life-Threatening
Electrical Hazard,25,B09,19,Alarm
Smoke Investigation (Outside),129,B07,31,Alarm
Medical Incident,84,B10,47,Non Life-threatening
Traffic Collision,26,B06,20,Potentially Life-Threatening
HazMat,8,B06,26,Alarm
Other,100,B03,35,Non Life-threatening
Citizen Assist / Service Call,13,B05,20,Alarm
Medical Incident,5,B08,48,Potentially Life-Threatening
Outside Fire,9,B05,06,Alarm
HazMat,3,B01,28,Alarm
Traffic Collision,1,B07,38,Non Life-threatening
Structure Fire,1940,B10,37,Alarm
Medical Incident,5,B05,41,Non Life-threatening
HazMat,16,B04,16,Alarm
Medical Incident,4,B05,11,Potentially Life-Threatening
Confined Space / Structure Collapse,15,B02,01,Fire
Other,143,B06,09,Alarm
Citizen Assist / Service Call,397,B05,12,Alarm
Traffic Collision,249,B10,37,Non Life-threatening
Other,8,B99,14,Alarm
Medical Incident,1,B08,16,Potentially Life-Threatening
Other,1,B04,10,Fire
Other,39,B03,08,Potentially Life-Threatening
Odor (Strange / Unknown),4,B01,41,Fire
Medical Incident,2992,B99,51,Potentially Life-Threatening
Medical Incident,3504,B03,48,Non Life-threatening
Gas Leak (Natural and LP Gases),3,B99,10,Alarm
Smoke Investigation (Outside),73,B07,14,Alarm
Other,1,B99,42,Non Life-threatening
Industrial Accidents,3,B08,18,Fire
Traffic Collision,3799,B03,01,Potentially Life-Threatening
Other,43,B03,29,Non Life-threatening
Odor (Strange / Unknown),30,B08,23,Alarm
Vehicle Fire,11,B99,31,Fire
Gas Leak (Natural and LP Gases),70,B02,01,Alarm
Medical Incident,5,B99,09,Potentially Life-Threatening
Medical Incident,93,B02,37,Non Life-threatening
Medical Incident,13247,B08,19,Potentially Life-Threatening
Explosion,52,B03,08,Fire
Electrical Hazard,170,B02,36,Alarm
Elevator / Escalator Rescue,245,B01,01,Alarm
Vehicle Fire,30,B06,09,Fire
Alarms,374,B03,36,Alarm
Structure Fire,1319,B02,36,Fire
Other,3,B03,,Non Life-threatening
Other,7,B06,,Alarm
Gas Leak (Natural and LP Gases),26,B05,24,Alarm
Medical Incident,2,AMB,,Potentially Life-Threatening
Fuel Spill,106,B02,36,Alarm
Traffic Collision,27,B03,36,Non Life-threatening
Medical Incident,27,B99,35,Potentially Life-Threatening
HazMat,10,B10,07,Alarm
Structure Fire,170,B03,36,Alarm
Medical Incident,4,B08,44,Non Life-threatening
"Extrication / Entrapped (Machinery, Vehicle)",2,B04,05,Fire
Other,407,B08,22,Alarm
Explosion,13,B06,11,Fire
Medical Incident,5,B02,07,Alarm
Odor (Strange / Unknown),1,B02,37,Alarm
Train / Rail Incident,14,B02,07,Fire
Gas Leak (Natural and LP Gases),78,B10,44,Alarm
Medical Incident,5869,B08,23,Non Life-threatening
Citizen Assist / Service Call,1068,B04,03,Alarm
Gas Leak (Natural and LP Gases),141,B10,42,Alarm
Citizen Assist / Service Call,1,B99,36,Alarm
Medical Incident,17624,B05,06,Potentially Life-Threatening
Outside Fire,189,B02,05,Fire
"Extrication / Entrapped (Machinery, Vehicle)",3,B07,10,Fire
Gas Leak (Natural and LP Gases),158,B07,34,Alarm
Odor (Strange / Unknown),30,B03,48,Alarm
Smoke Investigation (Outside),95,B02,29,Alarm
Other,2,B04,43,Alarm
Other,38,B06,11,Potentially Life-Threatening
Medical Incident,5,B03,05,Potentially Life-Threatening
Alarms,2561,B10,37,Alarm
Confined Space / Structure Collapse,6,B10,44,Fire
Other,3,B09,39,Non Life-threatening
Vehicle Fire,1,B03,18,Fire
Alarms,3,B07,38,Alarm
Vehicle Fire,128,B08,22,Fire
Outside Fire,1,B99,51,Alarm
Outside Fire,14,B10,04,Fire
Assist Police,8,B09,15,Alarm
Other,6,B05,21,Potentially Life-Threatening
Medical Incident,6,B99,,Potentially Life-Threatening
Medical Incident,2,B99,03,Alarm
Traffic Collision,4,B04,31,Potentially Life-Threatening
HazMat,14,B08,12,Alarm
Traffic Collision,364,B03,04,Potentially Life-Threatening
Medical Incident,35,B99,08,Non Life-threatening
Electrical Hazard,60,B01,13,Alarm
Medical Incident,3,B03,42,Potentially Life-Threatening
Smoke Investigation (Outside),133,B09,43,Alarm
Traffic Collision,8,B08,26,Potentially Life-Threatening
HazMat,6,B08,20,Alarm
Medical Incident,2,B03,44,Potentially Life-Threatening
Fuel Spill,1,B09,19,Alarm
Structure Fire,676,B01,13,Fire
Outside Fire,2,B08,19,Alarm
Medical Incident,14,B99,29,Potentially Life-Threatening
Explosion,23,B05,21,Fire
Other,22,B04,41,Non Life-threatening
Traffic Collision,2,B10,47,Non Life-threatening
Structure Fire,64,B10,47,Alarm
Medical Incident,15181,B09,33,Potentially Life-Threatening
Citizen Assist / Service Call,2,B99,16,Alarm
Explosion,45,B04,03,Fire
Other,84,B03,13,Alarm
Medical Incident,2,B06,12,Potentially Life-Threatening
Industrial Accidents,22,B10,25,Fire
Medical Incident,6,B08,01,Non Life-threatening
Watercraft in Distress,19,B04,16,Fire
Citizen Assist / Service Call,913,B06,11,Alarm
Medical Incident,2,B05,40,Non Life-threatening
Medical Incident,3893,B10,37,Non Life-threatening
Watercraft in Distress,47,B01,28,Fire
Outside Fire,209,B02,01,Fire
Other,629,B09,15,Alarm
Medical Incident,114,B06,20,Potentially Life-Threatening
Other,4,B04,,Alarm
Other,55,B04,03,Potentially Life-Threatening
Outside Fire,5,B99,10,Fire
Citizen Assist / Service Call,658,B05,21,Alarm
Water Rescue,1944,B07,34,Fire
Electrical Hazard,2,B07,22,Alarm
Medical Incident,114534,B03,01,Potentially Life-Threatening
Alarms,1215,B08,23,Alarm
Citizen Assist / Service Call,2,B07,07,Alarm
Elevator / Escalator Rescue,405,B02,03,Alarm
Water Rescue,78,B10,44,Fire
Water Rescue,10,B10,42,Fire
Vehicle Fire,5,B03,13,Fire
Structure Fire,890,B03,48,Alarm
Fuel Spill,54,B01,41,Alarm
Medical Incident,3,B99,43,Potentially Life-Threatening
Traffic Collision,713,B99,51,Potentially Life-Threatening
Traffic Collision,1272,B03,48,Non Life-threatening
Gas Leak (Natural and LP Gases),96,B01,03,Alarm
Medical Incident,23,B04,16,Alarm
Odor (Strange / Unknown),1,B03,36,Alarm
Medical Incident,3,B05,13,Non Life-threatening
Outside Fire,42,B03,04,Alarm
Electrical Hazard,1,B08,33,Alarm
Smoke Investigation (Outside),173,B10,09,Alarm
Medical Incident,1,B01,38,Potentially Life-Threatening
Medical Incident,39,B01,28,Alarm
Outside Fire,307,B09,44,Fire
Structure Fire,32,B02,37,Alarm
Fuel Spill,9,B09,26,Alarm
Outside Fire,76,B09,42,Fire
Vehicle Fire,1,B04,,Fire
Smoke Investigation (Outside),4,B07,12,Alarm
Traffic Collision,4,B02,37,Non Life-threatening
Traffic Collision,1325,B08,19,Potentially Life-Threatening
Water Rescue,5,B04,16,Potentially Life-Threatening
Medical Incident,6,B06,26,Alarm
Vehicle Fire,202,B09,15,Fire
Fuel Spill,9,B03,37,Alarm
Structure Fire,122,B08,33,Fire
Fuel Spill,46,B06,07,Alarm
Assist Police,18,B08,22,Alarm
Medical Incident,26589,B01,28,Potentially Life-Threatening
HazMat,3,B02,05,Fire
Medical Incident,16590,B04,16,Potentially Life-Threatening
Medical Incident,14,B06,36,Potentially Life-Threatening
Traffic Collision,4,B99,06,Potentially Life-Threatening
Medical Incident,4563,B06,26,Potentially Life-Threatening
Odor (Strange / Unknown),18,B04,05,Alarm
Train / Rail Incident,63,B03,01,Fire
Vehicle Fire,95,B04,03,Fire
"Extrication / Entrapped (Machinery, Vehicle)",8,B02,37,Fire
Elevator / Escalator Rescue,48,B02,29,Alarm
Medical Incident,2,B09,07,Potentially Life-Threatening
Smoke Investigation (Outside),4,B09,11,Alarm
Outside Fire,1,B10,07,Alarm
Medical Incident,42,B03,01,Alarm
Odor (Strange / Unknown),31,B07,10,Alarm
Traffic Collision,2,B05,35,Potentially Life-Threatening
Medical Incident,3,B99,34,Non Life-threatening
Assist Police,17,B06,11,Alarm
Alarms,3,B03,31,Alarm
Electrical Hazard,1,B02,21,Alarm
Train / Rail Incident,13,B09,33,Fire
Medical Incident,2,B07,28,Non Life-threatening
Other,35,B08,40,Non Life-threatening
HazMat,7,B08,19,Alarm
Elevator / Escalator Rescue,46,B09,43,Alarm
Other,629,B04,03,Alarm
Explosion,13,B03,13,Fire
Other,13,B99,36,Alarm
Assist Police,5,B05,21,Alarm
Citizen Assist / Service Call,1,B06,29,Alarm
Other,31,B09,15,Potentially Life-Threatening
Outside Fire,288,B01,02,Fire
Medical Incident,1,B06,04,Non Life-threatening
Citizen Assist / Service Call,672,B08,22,Alarm
Other,2,B04,11,Alarm
Citizen Assist / Service Call,3,B06,,Alarm
Medical Incident,21,B09,33,Alarm
Explosion,47,B09,15,Fire
Structure Fire,13,B04,01,Alarm
Traffic Collision,4,B05,,Potentially Life-Threatening
Traffic Collision,3,B99,40,Non Life-threatening
Industrial Accidents,6,B03,29,Fire
HazMat,1,B02,01,Fire
Medical Incident,47,B99,41,Non Life-threatening
Medical Incident,18,B99,11,Potentially Life-Threatening
Citizen Assist / Service Call,1,B99,12,Alarm
Other,64,B08,18,Non Life-threatening
Vehicle Fire,123,B06,11,Fire
Traffic Collision,91,B10,07,Potentially Life-Threatening
Medical Incident,2,B08,21,Potentially Life-Threatening
Water Rescue,42,B01,35,Fire
Other,454,B05,21,Alarm
Assist Police,7,B04,03,Alarm
Medical Incident,57,B99,03,Potentially Life-Threatening
Medical Incident,21,B04,36,Potentially Life-Threatening
Medical Incident,10,B08,31,Potentially Life-Threatening
Other,1,B07,07,Alarm
Traffic Collision,6,B99,13,Non Life-threatening
Structure Fire,1233,B07,10,Alarm
Medical Incident,4,B05,06,Alarm
Citizen Assist / Service Call,710,B09,15,Alarm
HazMat,12,B03,04,Alarm
Traffic Collision,41,B08,12,Potentially Life-Threatening
Marine Fire,60,B03,08,Fire
Structure Fire,6,B99,13,Alarm
Traffic Collision,168,B07,10,Non Life-threatening
Medical Incident,1,B03,21,Non Life-threatening
Other,2,B08,09,Alarm
Citizen Assist / Service Call,7,B04,,Alarm
Elevator / Escalator Rescue,12,B10,09,Alarm
Other,1,B99,19,Alarm
Other,39,B05,05,Non Life-threatening
Traffic Collision,103,B08,20,Potentially Life-Threatening
Explosion,33,B08,22,Fire
Other,689,B06,11,Alarm
Medical Incident,7,B03,31,Non Life-threatening
Other,8,B99,16,Alarm
