Call Type Group,Call Type,Battalion,Station Area
Non Life-threatening,Medical Incident,B99,35
Alarm,Other,B02,35
Non Life-threatening,Medical Incident,B10,28
Fire,Vehicle Fire,B09,33
Fire,Other,B03,35
Fire,High Angle Rescue,B07,12
Fire,Structure Fire,B06,20
Fire,HazMat,B05,06
Potentially Life-Threatening,Traffic Collision,B04,38
Alarm,Other,B01,36
Alarm,Other,B03,42
Fire,Structure Fire,B08,39
Alarm,Other,B03,44
Non Life-threatening,Traffic Collision,B99,02
Alarm,Smoke Investigation (Outside),B06,07
Non Life-threatening,Medical Incident,B07,16
Fire,Industrial Accidents,B01,28
Alarm,Odor (Strange / Unknown),B03,03
Alarm,Odor (Strange / Unknown),B01,13
Non Life-threatening,Medical Incident,B09,07
Alarm,Gas Leak (Natural and LP Gases),B07,01
Non Life-threatening,Medical Incident,B08,44
Non Life-threatening,Medical Incident,B99,29
Alarm,Citizen Assist / Service Call,B10,42
Alarm,Other,B02,29
Alarm,Citizen Assist / Service Call,B10,44
Alarm,Assist Police,B06,26
Potentially Life-Threatening,Medical Incident,B06,39
Non Life-threatening,Medical Incident,B07,19
Potentially Life-Threatening,Medical Incident,B08,12
Alarm,Other,B09,09
Alarm,Alarms,B99,10
Alarm,Citizen Assist / Service Call,B06,20
Alarm,Assist Police,B03,01
Potentially Life-Threatening,Medical Incident,B08,20
Non Life-threatening,Traffic Collision,B03,32
Alarm,Structure Fire,B10,29
Fire,Vehicle Fire,B99,03
Alarm,Watercraft in Distress,B01,28
Alarm,Citizen Assist / Service Call,B08,39
Fire,Other,B05,12
Alarm,HazMat,B09,26
Non Life-threatening,Medical Incident,B08,23
Alarm,Smoke Investigation (Outside),B05,10
Non Life-threatening,Traffic Collision,B06,15
Alarm,Other,B04,21
Alarm,Elevator / Escalator Rescue,B03,37
Alarm,Other,B03,01
Fire,Industrial Accidents,B08,20
Alarm,Fuel Spill,B02,07
Potentially Life-Threatening,Medical Incident,B99,18
Alarm,Other,B01,16
Alarm,Fuel Spill,B99,51
Alarm,Medical Incident,B02,36
Alarm,Other,B04,31
Fire,Vehicle Fire,B10,25
Alarm,Odor (Strange / Unknown),B10,29
Alarm,Structure Fire,B01,13
Alarm,HazMat,B06,09
Potentially Life-Threatening,Water Rescue,B08,19
Alarm,Structure Fire,B03,03
Fire,Structure Fire,B02,03
Alarm,HazMat,B01,02
Alarm,Assist Police,B02,29
Potentially Life-Threatening,Medical Incident,B01,28
Fire,Outside Fire,B07,10
Fire,Outside Fire,B04,05
Alarm,Smoke Investigation (Outside),B10,37
Fire,Vehicle Fire,B07,12
Alarm,Other,B06,26
Fire,Suspicious Package,B10,44
Alarm,Elevator / Escalator Rescue,B07,22
Alarm,Gas Leak (Natural and LP Gases),B04,10
Fire,Odor (Strange / Unknown),B08,39
Alarm,Gas Leak (Natural and LP Gases),B08,19
Alarm,HazMat,B03,08
Alarm,Alarms,B08,33
Non Life-threatening,Traffic Collision,B99,09
Non Life-threatening,Medical Incident,B07,26
Alarm,Elevator / Escalator Rescue,B99,31
Alarm,Citizen Assist / Service Call,B02,03
Non Life-threatening,Traffic Collision,B02,07
Non Life-threatening,Traffic Collision,B99,51
Non Life-threatening,Medical Incident,B99,43
Non Life-threatening,Medical Incident,B07,36
Non Life-threatening,Medical Incident,B08,01
Alarm,Electrical Hazard,B08,23
Alarm,Gas Leak (Natural and LP Gases),B04,05
Alarm,Fuel Spill,B08,39
Alarm,Gas Leak (Natural and LP Gases),B07,10
Non Life-threatening,Medical Incident,B99,33
Alarm,Electrical Hazard,B04,16
Alarm,Other,B07,14
Alarm,Other,B02,33
Fire,Watercraft in Distress,B03,08
Fire,Water Rescue,B99,08
Alarm,Other,B10,32
Potentially Life-Threatening,Traffic Collision,B03,48
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B05,21
Alarm,Outside Fire,B09,15
Alarm,Fuel Spill,B10,42
Alarm,Structure Fire,B10,33
Alarm,Fuel Spill,B10,44
Alarm,HazMat,B08,40
Potentially Life-Threatening,Medical Incident,B05,06
Non Life-threatening,Medical Incident,B04,36
Fire,Explosion,B02,06
Potentially Life-Threatening,Other,B05,21
Fire,Vehicle Fire,B02,09
Potentially Life-Threatening,Medical Incident,B07,32
Non Life-threatening,Medical Incident,B10,04
Alarm,Elevator / Escalator Rescue,B02,36
Alarm,Other,B07,21
Non Life-threatening,Traffic Collision,B10,42
Non Life-threatening,Medical Incident,B02,06
Non Life-threatening,Medical Incident,B06,14
Alarm,Elevator / Escalator Rescue,B01,35
Non Life-threatening,Traffic Collision,B10,44
Fire,Odor (Strange / Unknown),B99,51
Alarm,Other,B07,31
Fire,Odor (Strange / Unknown),B02,07
Alarm,Smoke Investigation (Outside),B06,11
Fire,Outside Fire,B08,19
Fire,Water Rescue,B04,28
Non Life-threatening,Traffic Collision,B06,20
Alarm,Alarms,B09,32
Potentially Life-Threatening,Traffic Collision,B01,01
Fire,Train / Rail Incident,B03,08
Fire,Mutual Aid / Assist Outside Agency,B02,05
Non Life-threatening,Traffic Collision,B08,39
Fire,Outside Fire,B04,10
Non Life-threatening,Medical Incident,B02,22
Non Life-threatening,Medical Incident,B01,21
Alarm,Citizen Assist / Service Call,B06,15
Non Life-threatening,Medical Incident,B04,16
Alarm,Fuel Spill,B02,03
Non Life-threatening,Medical Incident,B01,31
Potentially Life-Threatening,Medical Incident,B08,15
Alarm,Alarms,B99,44
Fire,Vehicle Fire,B08,24
Fire,Structure Fire,B02,07
Alarm,Smoke Investigation (Outside),B05,05
Fire,Vehicle Fire,B03,04
Fire,Structure Fire,B99,51
Alarm,Assist Police,B07,31
Alarm,Other,B03,10
Potentially Life-Threatening,Medical Incident,B02,08
Alarm,Electrical Hazard,B10,04
Non Life-threatening,Medical Incident,B01,14
Alarm,Smoke Investigation (Outside),B01,03
Alarm,Smoke Investigation (Outside),B03,13
Potentially Life-Threatening,Traffic Collision,B03,36
Alarm,Electrical Hazard,B02,06
Alarm,Electrical Hazard,B06,14
Alarm,Gas Leak (Natural and LP Gases),B05,02
Non Life-threatening,Traffic Collision,B02,11
Alarm,Smoke Investigation (Outside),B04,51
Fire,Vehicle Fire,B09,43
Potentially Life-Threatening,Other,B09,42
Fire,Train / Rail Incident,B09,26
Alarm,Citizen Assist / Service Call,B99,09
Potentially Life-Threatening,Other,B09,44
Fire,Explosion,B04,16
Non Life-threatening,Traffic Collision,B10,01
Non Life-threatening,Medical Incident,B09,17
Non Life-threatening,Traffic Collision,B02,03
Alarm,Assist Police,B07,14
Alarm,HazMat,B08,18
Alarm,Citizen Assist / Service Call,B02,07
Alarm,Citizen Assist / Service Call,B99,51
Fire,Water Rescue,B06,24
Alarm,Assist Police,B10,32
Potentially Life-Threatening,Medical Incident,B04,01
Non Life-threatening,Traffic Collision,B09,09
Alarm,Outside Fire,B08,40
Potentially Life-Threatening,Medical Incident,B03,31
Alarm,Odor (Strange / Unknown),B07,34
Fire,Confined Space / Structure Collapse,B04,38
Fire,Outside Fire,B99,13
Non Life-threatening,Traffic Collision,B02,29
Alarm,Citizen Assist / Service Call,B99,06
Potentially Life-Threatening,Medical Incident,B02,41
Fire,High Angle Rescue,B02,06
Fire,Structure Fire,B10,32
Alarm,Citizen Assist / Service Call,B07,31
Non Life-threatening,Medical Incident,B02,02
Alarm,Structure Fire,B08,22
Alarm,HazMat,B09,15
Potentially Life-Threatening,Traffic Collision,B05,35
Fire,Explosion,B03,04
Alarm,Citizen Assist / Service Call,B07,21
Non Life-threatening,Other,B04,03
Non Life-threatening,Medical Incident,B09,43
Fire,Structure Fire,B07,14
Fire,Outside Fire,B08,20
Non Life-threatening,Other,B09,26
Alarm,Elevator / Escalator Rescue,B06,11
Non Life-threatening,Medical Incident,B05,41
Alarm,Odor (Strange / Unknown),B10,07
Fire,HazMat,B08,19
Alarm,Medical Incident,B10,37
Fire,Outside Fire,B08,12
Fire,Explosion,B09,43
Alarm,Structure Fire,B06,37
Non Life-threatening,Medical Incident,B03,04
Alarm,Fuel Spill,B02,29
Potentially Life-Threatening,Traffic Collision,B02,13
Alarm,Smoke Investigation (Outside),B02,36
Fire,Vehicle Fire,B04,16
Alarm,Assist Police,B99,51
Alarm,Odor (Strange / Unknown),B09,39
Alarm,Assist Police,B02,07
Alarm,Citizen Assist / Service Call,B10,32
Fire,Structure Fire,B07,31
Potentially Life-Threatening,Medical Incident,B99,37
Fire,Industrial Accidents,B04,05
Fire,Structure Fire,B07,21
Alarm,Citizen Assist / Service Call,B07,14
Alarm,Other,B02,07
Fire,Odor (Strange / Unknown),B07,31
Potentially Life-Threatening,Medical Incident,B04,05
Alarm,Fuel Spill,B03,01
Alarm,Other,B99,51
Fire,Outside Fire,B01,28
Alarm,Fuel Spill,B01,16
Non Life-threatening,Medical Incident,B99,07
Potentially Life-Threatening,Medical Incident,B07,10
Potentially Life-Threatening,Other,B01,41
Alarm,Structure Fire,B09,39
Alarm,Medical Incident,B05,10
Non Life-threatening,Other,B01,02
Alarm,Smoke Investigation (Outside),B06,29
Alarm,Elevator / Escalator Rescue,B05,05
Non Life-threatening,Traffic Collision,B01,48
Potentially Life-Threatening,Medical Incident,B09,40
Potentially Life-Threatening,Other,B10,09
Non Life-threatening,Other,B06,09
Alarm,Structure Fire,B10,07
Non Life-threatening,Medical Incident,B02,09
Alarm,Other,B99,09
Alarm,Gas Leak (Natural and LP Gases),B05,06
Alarm,Medical Incident,B06,07
Alarm,Fuel Spill,B06,26
Fire,Vehicle Fire,B02,06
Alarm,Electrical Hazard,B09,43
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B10,09
Non Life-threatening,Other,B09,19
Fire,Suspicious Package,B07,31
Alarm,Outside Fire,B08,18
Non Life-threatening,Traffic Collision,B06,26
Fire,Odor (Strange / Unknown),B07,14
Potentially Life-Threatening,Traffic Collision,B10,36
Non Life-threatening,Traffic Collision,B06,36
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B01,41
Alarm,Other,B10,10
Potentially Life-Threatening,Medical Incident,B09,13
Alarm,Electrical Hazard,B03,04
Alarm,Odor (Strange / Unknown),B08,22
Non Life-threatening,Traffic Collision,B04,31
Potentially Life-Threatening,Medical Incident,B05,51
Alarm,Elevator / Escalator Rescue,B03,13
Non Life-threatening,Other,B03,08
Alarm,Elevator / Escalator Rescue,B01,03
Alarm,Elevator / Escalator Rescue,B04,51
Non Life-threatening,Traffic Collision,B04,21
Alarm,Structure Fire,B07,34
Non Life-threatening,Traffic Collision,B03,01
Non Life-threatening,Traffic Collision,B01,16
Non Life-threatening,Medical Incident,B09,09
Alarm,Smoke Investigation (Outside),B01,02
Fire,Water Rescue,B01,28
Alarm,Smoke Investigation (Outside),B06,09
Fire,Outside Fire,B04,38
Alarm,Alarms,B07,34
Alarm,HazMat,B10,37
Fire,Vehicle Fire,B02,03
Non Life-threatening,Medical Incident,B05,13
Potentially Life-Threatening,Medical Incident,B10,48
Alarm,Other,B08,23
Fire,Structure Fire,B10,25
Non Life-threatening,Traffic Collision,B09,43
Fire,Outside Fire,B02,37
Alarm,Fuel Spill,B03,04
Non Life-threatening,Medical Incident,B02,29
Potentially Life-Threatening,Medical Incident,B02,40
Alarm,Other,B99,29
Fire,Suspicious Package,B09,33
Potentially Life-Threatening,Traffic Collision,B02,41
Non Life-threatening,Medical Incident,B02,35
Alarm,Other,B99,35
Alarm,Citizen Assist / Service Call,B07,12
Non Life-threatening,Traffic Collision,B03,04
Alarm,Smoke Investigation (Outside),B09,19
Alarm,Fuel Spill,B09,43
Alarm,Citizen Assist / Service Call,B07,20
Non Life-threatening,Medical Incident,B01,36
Non Life-threatening,Medical Incident,B05,40
Non Life-threatening,Medical Incident,B06,19
Alarm,Electrical Hazard,B06,26
Non Life-threatening,Traffic Collision,B08,24
Alarm,Gas Leak (Natural and LP Gases),B03,36
Fire,Explosion,B02,29
Alarm,Alarms,B10,07
Fire,HazMat,B06,32
Alarm,Outside Fire,B07,22
Alarm,Citizen Assist / Service Call,B10,25
Fire,Train / Rail Incident,B06,11
Non Life-threatening,Medical Incident,B03,05
Alarm,Electrical Hazard,B03,01
Alarm,Medical Incident,B09,15
Potentially Life-Threatening,Medical Incident,B03,12
Alarm,Alarms,B09,39
Potentially Life-Threatening,Medical Incident,B02,13
Alarm,Smoke Investigation (Outside),B03,08
Fire,Suspicious Package,B10,25
Fire,Explosion,B03,01
Fire,Vehicle Fire,B08,39
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B01,13
Alarm,Gas Leak (Natural and LP Gases),B03,48
Non Life-threatening,Traffic Collision,B09,29
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B03,03
Non Life-threatening,Traffic Collision,B99,07
Potentially Life-Threatening,Traffic Collision,B07,10
Potentially Life-Threatening,Traffic Collision,B04,05
Fire,Structure Fire,B09,33
Fire,Confined Space / Structure Collapse,B01,28
Potentially Life-Threatening,Other,B05,36
Fire,Vehicle Fire,B06,20
Alarm,Other,B07,36
Fire,Watercraft in Distress,B04,51
Alarm,Smoke Investigation (Outside),B04,03
Fire,Vehicle Fire,B10,44
Fire,Vehicle Fire,B10,42
Fire,Explosion,B06,26
Alarm,Electrical Hazard,B02,29
Alarm,Other,B03,38
Non Life-threatening,Traffic Collision,B02,09
Non Life-threatening,Medical Incident,B06,36
Potentially Life-Threatening,Medical Incident,B10,36
Fire,Marine Fire,B04,16
Fire,Train / Rail Incident,B03,13
Alarm,Fuel Spill,B02,09
Alarm,Alarms,B08,22
Non Life-threatening,Medical Incident,B01,19
Alarm,Smoke Investigation (Outside),B09,26
Alarm,HazMat,B05,10
Alarm,Citizen Assist / Service Call,B09,33
Potentially Life-Threatening,Other,B01,13
Alarm,Elevator / Escalator Rescue,B06,06
Non Life-threatening,Medical Incident,B06,26
Potentially Life-Threatening,Medical Incident,B10,26
Non Life-threatening,Medical Incident,B04,21
Alarm,Gas Leak (Natural and LP Gases),B01,01
Non Life-threatening,Medical Incident,B01,16
Alarm,HazMat,B06,07
Non Life-threatening,Medical Incident,B03,01
Non Life-threatening,Other,B02,36
Non Life-threatening,Medical Incident,B04,31
Alarm,Assist Police,B08,23
Potentially Life-Threatening,Water Rescue,B03,48
Non Life-threatening,Traffic Collision,B09,35
Potentially Life-Threatening,Traffic Collision,B10,21
Non Life-threatening,Traffic Collision,B06,21
Fire,Vehicle Fire,B01,16
Fire,Explosion,B08,39
Fire,Vehicle Fire,B03,01
Alarm,HazMat,B03,37
Potentially Life-Threatening,Medical Incident,B03,48
Fire,Marine Fire,B03,04
Alarm,Other,B10,25
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B02,05
Alarm,Assist Police,B99,03
Non Life-threatening,Other,B05,05
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B10,17
Alarm,Elevator / Escalator Rescue,B01,02
Fire,HazMat,B04,38
Potentially Life-Threatening,Traffic Collision,B05,06
Fire,Structure Fire,B08,23
Potentially Life-Threatening,Medical Incident,B05,17
Alarm,HazMat,B05,24
Fire,Vehicle Fire,B06,26
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B03,35
Alarm,Alarms,B08,51
Alarm,Other,B07,12
Alarm,Outside Fire,B10,37
Alarm,Fuel Spill,B02,06
Potentially Life-Threatening,Other,B05,12
Non Life-threatening,Medical Incident,B10,44
Non Life-threatening,Other,B04,51
Alarm,Assist Police,B09,33
Potentially Life-Threatening,Other,B02,05
Non Life-threatening,Traffic Collision,B02,06
Potentially Life-Threatening,Medical Incident,B06,42
Non Life-threatening,Medical Incident,B10,42
Alarm,Alarms,B03,07
Fire,High Angle Rescue,B02,29
Non Life-threatening,Medical Incident,B02,17
Fire,Outside Fire,B06,32
Alarm,HazMat,B07,22
Alarm,Elevator / Escalator Rescue,B03,08
Non Life-threatening,Other,B03,13
Alarm,Fuel Spill,B04,36
Alarm,Other,B03,28
Non Life-threatening,Other,B01,03
Potentially Life-Threatening,Medical Incident,B01,01
Potentially Life-Threatening,Medical Incident,B03,16
Alarm,Medical Incident,B08,40
Fire,Train / Rail Incident,B02,36
Alarm,Citizen Assist / Service Call,B08,23
Potentially Life-Threatening,Medical Incident,B10,12
Potentially Life-Threatening,Other,B03,35
Fire,Confined Space / Structure Collapse,B04,10
Non Life-threatening,Medical Incident,B08,39
Fire,Outside Fire,B06,24
Non Life-threatening,Medical Incident,B10,05
Alarm,Citizen Assist / Service Call,B10,39
Alarm,Odor (Strange / Unknown),B09,32
Fire,Aircraft Emergency,B09,44
Alarm,Structure Fire,B08,29
Alarm,Electrical Hazard,B02,03
Non Life-threatening,Medical Incident,B06,20
Potentially Life-Threatening,Other,B10,17
Alarm,Elevator / Escalator Rescue,B04,03
Fire,Explosion,B02,03
Alarm,Structure Fire,B09,32
Fire,High Angle Rescue,B03,01
Fire,Industrial Accidents,B01,01
Potentially Life-Threatening,Medical Incident,B05,03
Non Life-threatening,Traffic Collision,B04,16
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B02,01
Potentially Life-Threatening,Medical Incident,B05,11
Alarm,Other,B09,33
Alarm,Elevator / Escalator Rescue,B04,11
Fire,Vehicle Fire,B03,44
Alarm,Medical Incident,B08,18
Alarm,Electrical Hazard,B10,44
Non Life-threatening,Medical Incident,B02,11
Fire,Odor (Strange / Unknown),B08,23
Alarm,Electrical Hazard,B10,42
Alarm,Outside Fire,B06,07
Alarm,Other,B99,11
Potentially Life-Threatening,Traffic Collision,B02,08
Potentially Life-Threatening,Medical Incident,B01,42
Fire,Vehicle Fire,B02,29
Potentially Life-Threatening,Medical Incident,B03,36
Fire,Water Rescue,B08,19
Potentially Life-Threatening,Medical Incident,B01,05
Fire,Outside Fire,B04,28
Alarm,Fuel Spill,B04,16
Alarm,Electrical Hazard,B08,39
Alarm,Other,B02,94
Alarm,Smoke Investigation (Outside),B06,06
Fire,Industrial Accidents,B03,48
Non Life-threatening,Other,B06,11
Potentially Life-Threatening,Medical Incident,B06,01
Non Life-threatening,Medical Incident,B10,01
Alarm,Other,B99,03
Alarm,Assist Police,B10,25
Alarm,Electrical Hazard,B06,20
Non Life-threatening,Medical Incident,B02,03
Fire,Water Rescue,B07,23
Potentially Life-Threatening,Medical Incident,B10,07
Non Life-threatening,Medical Incident,B06,07
Alarm,HazMat,B03,01
Fire,Vehicle Fire,B03,37
Fire,HazMat,B02,01
Alarm,Assist Police,B09,26
Alarm,Elevator / Escalator Rescue,B10,25
Alarm,Other,B01,02
Fire,HazMat,B04,41
Alarm,Structure Fire,B04,05
Alarm,Structure Fire,B07,10
Potentially Life-Threatening,Medical Incident,B09,39
Fire,Vehicle Fire,B05,24
Alarm,Other,B06,09
Fire,Outside Fire,B03,03
Alarm,Citizen Assist / Service Call,B01,06
Non Life-threatening,Other,B02,07
Alarm,HazMat,B06,26
Non Life-threatening,Other,B99,51
Fire,Outside Fire,B01,13
Alarm,Other,B09,48
Alarm,Outside Fire,B02,03
Alarm,Smoke Investigation (Outside),B08,23
Non Life-threatening,Medical Incident,B05,10
Fire,Vehicle Fire,B07,22
Potentially Life-Threatening,Medical Incident,B07,34
Fire,Explosion,B05,10
Non Life-threatening,Traffic Collision,B99,36
Alarm,Other,B03,08
Non Life-threatening,Medical Incident,B07,51
Alarm,Other,B07,07
Potentially Life-Threatening,Medical Incident,B02,10
Alarm,Assist Police,B04,03
Fire,Vehicle Fire,B99,31
Fire,Explosion,B06,07
Fire,Confined Space / Structure Collapse,B10,09
Alarm,Other,B09,19
Alarm,Electrical Hazard,B10,37
Fire,Confined Space / Structure Collapse,B01,41
Alarm,Outside Fire,B10,42
Alarm,Electrical Hazard,B06,07
Fire,HazMat,B02,05
Alarm,Medical Incident,B09,43
Alarm,Other,B04,03
Non Life-threatening,Medical Incident,B01,07
Potentially Life-Threatening,Medical Incident,B08,22
Alarm,Assist Police,B09,19
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B02,37
Fire,Explosion,B10,37
Alarm,Structure Fire,B04,01
Alarm,Fuel Spill,B10,47
Fire,Other,B05,06
Alarm,Citizen Assist / Service Call,B06,06
Alarm,Elevator / Escalator Rescue,B09,33
Fire,HazMat,B03,35
Fire,High Angle Rescue,B99,14
Alarm,Outside Fire,B08,39
Alarm,Other,B04,11
Alarm,Fuel Spill,B09,15
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B04,38
Fire,HazMat,B10,17
Alarm,Other,B06,02
Alarm,Other,B01,09
Potentially Life-Threatening,Medical Incident,B08,06
Alarm,Electrical Hazard,B05,10
Alarm,Assist Police,B03,08
Alarm,Assist Police,B01,02
Alarm,Odor (Strange / Unknown),B07,10
Non Life-threatening,Traffic Collision,B09,15
Alarm,Odor (Strange / Unknown),B04,05
Potentially Life-Threatening,Traffic Collision,B02,28
Fire,HazMat,B03,29
Alarm,HazMat,B02,29
Non Life-threatening,Traffic Collision,B10,47
Alarm,Citizen Assist / Service Call,B02,21
Fire,Outside Fire,B10,29
Fire,Structure Fire,B06,06
Non Life-threatening,Traffic Collision,B99,16
Potentially Life-Threatening,Other,B04,38
Alarm,Medical Incident,B03,04
Alarm,Other,B09,26
Fire,HazMat,B05,12
Potentially Life-Threatening,Medical Incident,B06,37
Non Life-threatening,Medical Incident,B10,37
Fire,Water Rescue,B10,09
Non Life-threatening,Traffic Collision,B07,29
Alarm,Electrical Hazard,B99,31
Alarm,Citizen Assist / Service Call,B09,19
Alarm,Electrical Hazard,B06,33
Fire,Outside Fire,B04,41
Non Life-threatening,Traffic Collision,B08,18
Alarm,Smoke Investigation (Outside),B07,12
Alarm,Gas Leak (Natural and LP Gases),B08,22
Fire,Vehicle Fire,B10,37
Fire,Structure Fire,B01,02
Alarm,HazMat,B02,03
Alarm,Outside Fire,B06,26
Alarm,Elevator / Escalator Rescue,B08,23
Fire,HazMat,B01,13
Potentially Life-Threatening,Medical Incident,B03,07
Alarm,Alarms,B06,42
Potentially Life-Threatening,Medical Incident,B07,08
Fire,Structure Fire,B06,09
Fire,Outside Fire,B02,01
Potentially Life-Threatening,Traffic Collision,B09,32
Alarm,Electrical Hazard,B07,22
Alarm,Citizen Assist / Service Call,B03,08
Alarm,Citizen Assist / Service Call,B07,07
Alarm,Outside Fire,B03,01
Non Life-threatening,Traffic Collision,B07,03
Alarm,Alarms,B01,01
Alarm,Medical Incident,B04,16
Alarm,Smoke Investigation (Outside),B10,25
Alarm,Electrical Hazard,B05,24
Fire,Structure Fire,B09,19
Potentially Life-Threatening,Medical Incident,B08,09
Alarm,Electrical Hazard,B99,14
Alarm,Citizen Assist / Service Call,B01,02
Alarm,Alarms,B03,48
Alarm,Citizen Assist / Service Call,B06,09
Potentially Life-Threatening,Traffic Collision,B99,01
Non Life-threatening,Medical Incident,B08,34
Alarm,Electrical Hazard,B03,37
Alarm,Fuel Spill,B08,18
Fire,Structure Fire,B03,08
Alarm,Odor (Strange / Unknown),B05,06
Alarm,Smoke Investigation (Outside),B09,33
Alarm,Alarms,B03,36
Non Life-threatening,Medical Incident,B99,31
Alarm,Citizen Assist / Service Call,B09,26
Alarm,HazMat,B08,39
Fire,Odor (Strange / Unknown),B03,08
Alarm,Gas Leak (Natural and LP Gases),B10,07
Non Life-threatening,Medical Incident,B07,06
Fire,Outside Fire,B03,35
Alarm,Structure Fire,B05,06
Alarm,Other,B02,21
Non Life-threatening,Medical Incident,B99,21
Potentially Life-Threatening,Other,B06,24
Potentially Life-Threatening,Medical Incident,B02,32
Fire,Outside Fire,B10,17
Fire,Outside Fire,B02,05
Non Life-threatening,Medical Incident,B07,22
Potentially Life-Threatening,Water Rescue,B07,34
Fire,Explosion,B05,24
Alarm,Gas Leak (Natural and LP Gases),B09,39
Alarm,HazMat,B10,44
Non Life-threatening,Other,B10,32
Potentially Life-Threatening,Other,B06,32
Alarm,HazMat,B10,42
Alarm,Alarms,B07,38
Fire,Train / Rail Incident,B02,07
Alarm,Fuel Spill,B08,40
Fire,Structure Fire,B04,03
Non Life-threatening,Other,B07,14
Fire,Water Rescue,B09,44
Non Life-threatening,Medical Incident,B05,24
Fire,Structure Fire,B09,26
Potentially Life-Threatening,Medical Incident,B99,04
Fire,Outside Fire,B05,20
Fire,Outside Fire,B99,25
Non Life-threatening,Traffic Collision,B08,40
Non Life-threatening,Medical Incident,B99,14
Fire,Watercraft in Distress,B99,51
Alarm,Gas Leak (Natural and LP Gases),B07,34
Fire,Vehicle Fire,B05,10
Alarm,Other,B06,06
Fire,Outside Fire,B05,12
Alarm,Medical Incident,B02,06
Non Life-threatening,Medical Incident,B03,37
Alarm,Other,B04,43
Non Life-threatening,Traffic Collision,B99,20
Non Life-threatening,Other,B07,31
Fire,Vehicle Fire,B06,07
Alarm,Outside Fire,B02,29
Fire,Odor (Strange / Unknown),B06,09
Alarm,Structure Fire,B10,14
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B06,32
Non Life-threatening,Other,B07,21
Fire,Odor (Strange / Unknown),B01,02
Non Life-threatening,Traffic Collision,B99,12
Alarm,Citizen Assist / Service Call,B04,03
Fire,Outside Fire,B03,29
Non Life-threatening,Medical Incident,B08,18
Potentially Life-Threatening,Traffic Collision,B03,07
Potentially Life-Threatening,Medical Incident,B09,24
Alarm,Assist Police,B01,03
Potentially Life-Threatening,Medical Incident,B04,37
Fire,Water Rescue,B03,35
Non Life-threatening,Other,B09,33
Potentially Life-Threatening,Structure Fire,B08,18
Fire,Water Rescue,B10,17
Potentially Life-Threatening,Traffic Collision,B09,25
Non Life-threatening,Medical Incident,B07,03
Alarm,Smoke Investigation (Outside),B07,14
Alarm,Odor (Strange / Unknown),B01,01
Potentially Life-Threatening,Medical Incident,B02,38
Fire,Confined Space / Structure Collapse,B02,01
Fire,Vehicle Fire,B09,15
Alarm,Citizen Assist / Service Call,B02,36
Potentially Life-Threatening,Medical Incident,B09,32
Fire,Outside Fire,B09,42
Fire,Outside Fire,B09,44
Alarm,Smoke Investigation (Outside),B10,32
Fire,HazMat,B01,41
Alarm,Odor (Strange / Unknown),B03,48
Alarm,Other,B06,11
Alarm,Medical Incident,B02,03
Non Life-threatening,Medical Incident,B05,38
Fire,Watercraft in Distress,B08,23
Alarm,Electrical Hazard,B08,40
Alarm,HazMat,B04,16
Alarm,Alarms,B05,06
Fire,Explosion,B08,18
Alarm,Smoke Investigation (Outside),B07,21
Fire,Structure Fire,B02,36
Potentially Life-Threatening,Medical Incident,B99,01
Alarm,Assist Police,B05,05
Non Life-threatening,Traffic Collision,B08,34
Alarm,Smoke Investigation (Outside),B07,31
Alarm,Structure Fire,B03,36
Fire,Water Rescue,B03,29
Alarm,Elevator / Escalator Rescue,B02,07
Non Life-threatening,Traffic Collision,B99,21
Potentially Life-Threatening,Other,B08,19
Alarm,Electrical Hazard,B08,18
Alarm,Elevator / Escalator Rescue,B99,51
Non Life-threatening,Other,B07,12
Alarm,Fuel Spill,B03,37
Alarm,Other,B05,05
Alarm,Odor (Strange / Unknown),B03,36
Non Life-threatening,Traffic Collision,B99,31
Non Life-threatening,Traffic Collision,B06,33
Potentially Life-Threatening,Medical Incident,B02,25
Fire,Confined Space / Structure Collapse,B03,35
Alarm,Outside Fire,B03,04
Alarm,Assist Police,B06,11
Fire,Outside Fire,B05,21
Non Life-threatening,Other,B10,25
Alarm,Fuel Spill,B05,24
Alarm,Structure Fire,B03,48
Fire,Explosion,B08,40
Non Life-threatening,Traffic Collision,B07,22
Alarm,HazMat,B02,06
Alarm,Fuel Spill,B99,14
Fire,"Extrication / Entrapped (Machinery, Vehicle)",B04,10
Potentially Life-Threatening,Medical Incident,B99,44
Alarm,Structure Fire,B01,01
Potentially Life-Threatening,Medical Incident,B99,42
Non Life-threatening,Traffic Collision,B99,14
Alarm,Citizen Assist / Service Call,B06,29
Alarm,Fuel Spill,B07,22
Potentially Life-Threatening,Traffic Collision,B99,04
